Language,Content
ZH,大概 就 这样
ZH,可是 没有 听 过  没 听 过 就是
ZH,是个 舞 嗯
ZH,全 新加坡 的 人 都 可以 参加 就是 一个 歌唱 比赛 懂 刚刚 刚刚 结束 诶
ZH, 喜欢 唱歌  啊
ZH,诶 还有 蛮 多 的 多过 十多 二十多 吧
ZH,都有 都有 不同 的
EN,the last competition we invited some
ZH,(呃) 和我 一届 的 (呃) 只要 和我 一届 就是 哦
EN,hong-jun-yang ah
ZH,我 不知道 啊
ZH,都是 本地 的  啊  对 本地 歌手
ZH, 谁
ZH,哦 xu-jia-ying 是 吗
ZH,哪个
EN,officer
ZH,哦 你 也是 要 参加  要 报名 咯 要 明年 才 开始
ZH,哦 了解 了解 了解 了解 啊
ZH,歌唱 比赛  啊  其实 我们 也
ZH,没有 声音 啊 但 彼此 的 <unk>
ZH,然后 总共 应该 有 二十 多 位 参加 在 大决赛  啊  对
ZH,(呃) 就 可以
ZH,嗯 两年 咯 对 从 第一年 我 就 参加了
ZH,一起 这样 看看
ZH,有时候  啦  有时候 没 时间 读书
ZH,一次 啦
ZH,嗯 少 过 五次  啦  我 觉得  因为 我们 大多数 时间 都在 做 课外 活动 可是
ZH,只要 成绩 不会 太差 我 还觉得 还好  吧
ZH, 我还 没有 到 非常 差的 地步  还好 啊
ZH,我 父母亲 的 英语 很差 所以 没 办法 跟 他们 沟通 用 英语 沟通 所以 在家 里 都是 讲 华语
ZH,对 对 多数 啊  对 咯
ZH,海军陆战队
EN,ah naval diving unit unit
ZH,路军 也 不错 啊
ZH,台北 而已 啊 对
ZH,那是 跟 那是 我 被 训练 的 还有
ZH,很多 种 就是
ZH,从 海~ 从 海~ 海队 冲锋 部队 啦
ZH,就是 突然 间 从 海岸 伸去 然后 就
ZH,冲锋 啊 对
ZH,平常的圈 是 什么 意思
ZH,训练
ZH,赞
ZH,嗯 不是 不是 不是 是 地雷  啊
ZH, 水 诶 水  对
ZH,我 也 不知道 我也 不清楚 啊 我 只是 小兵 对
ZH,比较 有 兴趣 啦 (嗯) 什么 嘞
ZH,歌手  啊  台湾 歌手
ZH,周杰伦 不错 哦  周杰伦
ZH,嗯哈
ZH,对 啊 喜欢 啊
ZH,新加坡 人 都 喜欢  嘛
ZH,都 知道 咯
ZH,平均 十八 块 应该 是 哦
ZH,可是 有时候 会 很贵 很贵
ZH,不可 以  啊  不可 以
ZH,对 有 对
ZH,对 哦 有时候 有时候 没有
ZH,啊 应该 是
ZH,别 是吗 新加坡 人 是 喝 汽水  为什么
EN,how often ah
EN,(em) now during school time i hardly go ah but during holiday i'll go like two weeks once
ZH,啊 不会 啊 不会 啊
ZH,只是 喜欢 唱歌 罢了
ZH, 啊  那个 是要 有 明星脸  啊  不 不只 不只 唱歌 要好 所以
EN,i don't have the idols look ah so
ZH,哪 一些
ZH,特色 没有 特色
ZH,可能 那个 知名度 没有 这么
ZH,响亮 啊 就
ZH,(呃) 他们 偶尔 有 办 可是 我也 不清楚  啊  其实
ZH, 啊  对 对 对 黄金 年华 那个 是 给 老人 唱歌 咯
ZH,没有 我 了解 其实
ZH,我 喜欢 看 足球 可是 我的 足球 很 烂  啊   踢 足球
ZH,其实 游泳 嗯 其实 我也 不是 很 喜欢 游泳
ZH,(呃) 可以 这样 讲  啊
ZH, 好 （ppl)
ZH,好 （ppl)
ZH,嗯 吃了 吃了
ZH,去
ZH,我 都 没有钱 去  听说 去 那边 要 花 几万 块 几万 台 新币 新币 没钱 对 所以 去过 最远 就是 去 台湾
ZH,几个 星期 就是 除～ 除了 除了 跟 兵 军队 一起 去 就是 自己 去 那边 消遣 去了 高雄 这种
ZH,我 还 记得 上次 我们 去 高雄
ZH,所以 逃过 一劫
ZH,二零零八年 七月
EN,so luck
ZH,在 台湾 一下 垦丁 咯 垦丁
ZH,可能 台湾 的 女生 比较 会 打扮 比较 比较 敢 穿 吧 我 觉得 不管 是 泳装  啊  还是 什么 新加坡 的 女生 都 比较 保守
EN,conservative
EN,as in (er) i i don't know also but
EN,is very carefree ah girls everybody is like very no stress et cetera i think maybe it's the holiday period when i went there so
EN,(er) yeah everybody is like no stress on their face can see sentosa is different ah sentosa
EN,i don't know how to explain
ZH,我 其实 我 真的 觉得 会 有
ZH,嗯 就像 我们 学生 就是 成绩  啊
ZH,崩溃 啊 还是 考 不好  啊  对
ZH,你 大人 我 就 觉得 他们 其实 我也 是 大人
ZH,其实 工作 人物 他们 新加坡 的 东西 都很贵 啊 物质
ZH,是  吗  我 不清楚 诶
ZH,对 对 对 台湾 的 食物 应该 比较 便宜 吧
ZH,哇 台湾 的 食物 很好吃  啊
ZH,最 喜欢  啊  其实 他的 肉饭  啊  我 就 很喜欢  可以 叫个 大碗 吃个不停
ZH,啊 有 有 有 哇 那个 阿姨 是吗 台北 有一个 阿姨 面线
ZH,超好吃 对 对 对 对 西门町
ZH,哎 阿中  啊  对 对 阿中
ZH,对 超好吃 的
ZH,鸡扒 超大只
ZH,就是 新加坡 的 鸡扒 没有
ZH,不比 好吃 啊
ZH,新加坡 很多 地方 都有 士林 夜市 是 是 一间店的 那个 店 的 名称 叫 士林 夜市
ZH,我 我 对 对 对 应该是 可是 没 这么 好吃  啦
ZH,故宫 有 故宫
ZH,为什么 呢
ZH,对 对 对 对 有 <unk> 有
ZH,应该 是 每个 景点 都有 去 过
ZH,嗯 其实 才 十天  吧  十天  吧
ZH,对 对 可是 中间的 和 东边的 我们 都 没有去
ZH,什么 阿里山 是什么 我们 没去
ZH,嗯 又 便宜 超 便宜 比 新加坡 便宜 两 倍 诶 便宜
ZH,印象 啊 不错 啊
ZH,比较 一下 啊
ZH,嗯 对 哦 所以 我们 在 那边 其实 迷路 了
ZH,好几次  啊  然后 都要 搭 的士 有时候 的士 司机 也  迷路 了 对 可是 那边 的 东西 都 很 便宜  啊  所以 东西 又 好吃
ZH,女生 又 好看  所以 我 觉得 挺 不错 是个 华人的 天堂  啊  只要 会讲 华语 就 应该 去 逛逛 一下 对
ZH,哪边 可以 <unk> 嗯
ZH,我 觉得 都 很好 的 吧 可能
ZH,不 满意 意
ZH,都不 <unk>
ZH,我也 不知道 诶  可能 (呃)
ZH,可能 可以 更 干净 一点  嘛  对不起
ZH,所以 嗯 可是 新加坡 可以
ZH,怎么 讲 (呃) 因为 新加坡 人 其实
ZH,有时候 我们 虽然 受 教育 受到 很高 可是 我们 还是
ZH,怎样 讲 很 自私  啊  在 在 在 公共场所
ZH,都
ZH, 我 不懂 怎样 说 诶
ZH,对 对 对 对 对 就是 这种 就是 这种 观念
ZH,好 好 好的 新加坡
ZH,新加坡 很 不错
ZH,是  吗
ZH,压迫 不是  我 不懂 怎么 说
ZH,其实 也不用 管 太多  吧
ZH,嗯 对 啊 啊 啊 偶尔 啦 可是 有时候
ZH,你 会 觉得 反正 都
ZH,都 已经 很好了 不要 再 去想 了  对
EN,yeah true true
ZH,不对  啊  其实 因为 新加坡 (呃)
ZH,（呃） 你 没有钱 新 新 政府 也不 会 好像 像 那种
EN,because some of them is
ZH,你的 生活 是 靠你 自己的 我们 不会 帮你 太多 这样
ZH,改天 不由得 我 改天 来的 我 总 觉得 新加坡 的 太多 钱 了 可是 也不 知道 放在 哪里  啊  应该 还 一点 给 社会 这样  嘛
ZH,对  啊  这 这 只是 这 只是 一小部分  吧  对 吧
ZH,歌手  啊
ZH,你 要 聊 什么  新歌 么
ZH,嗯 有 有 有 喜欢 啦
ZH,这样 我 猜  啊  我 猜 我 猜
ZH,偶尔 会 追 啊 可是 最近 没 时间 看 多 好笑 啊 吴忠宪
ZH,(呃) 没有 我 只看 电视机  啊  我们
ZH,对 对 对 有
ZH,不是 不是 不是 那个 还 那个 我们 也会
ZH,你 住 哪边
ZH,对 对 对  哦
ZH,对 啊 啊  什么 意思
ZH,没有 没有 没有
ZH,(呃) 其实 我 跟 我的 家人
ZH,很少 有 那种 一起 活动 的 东西  啦  都是
ZH,吃饭 吃 吃 怎么 讲
ZH,嗯 妈妈 哥哥 姐姐 咯
ZH,哦 我 姐姐 对 我 姐姐 在 做工 我 哥哥 哈 还 没有  还 没有 我 哥哥 也 还 没有 娶  啊
EN,ah full-time
EN,en enough to sustain enough to live lor
ZH, 啊 对
EN,taxes poker
ZH,专业 的 做 这个 东西
ZH,是  啊
ZH,哦 对 对 对 嗯
ZH,(呃) 有 两三年 了  吧  两三年
ZH,应该 是 没 问题  暂时 没 问题
ZH,（呃） 他问 是 说是
ZH, 啊  也 也 对  啦  也 对了
ZH, 没有 啊
EN, engineering
ZH,看 行情 怎样 对
ZH,什么 月薪 啊
ZH,可是 我们 加薪 会 比较快 对  啊  几个月 六个月 就 加一次  吧
EN,bonus bonus
ZH,啊 我 看 就 新加坡 新加坡 就是 靠 我们的 人才 在 奋斗  啊
ZH, 没有 诶  我们 读的 都是
ZH,对 就是
ZH,对 对 计算
ZH,其实 我 觉得
ZH,是 靠 什么
ZH,是 靠 兴趣 吧 就是 嗯 其实 (呃)
ZH,老实 说 我在
ZH,那个 我 不大 清楚 就是 其实 只有 三个  吧
ZH,应该 是 四月  吧
EN,actually depend on the tax rate ah
ZH,（呃） 五 四五个 五 有时候 还有 六个 这样
ZH,放弃了 对
ZH,我 不记～
EN,mosu*  en
ZH, 啊   啊  对
ZH, 啊  对 啊 就是 在 学校 学 咯 没有 在外面 学 过
ZH,学校 学校 是 免费的  啊  外面 要 付 好几百块 对
ZH,什么 是 <unk>
EN,oh i'm not sure cause i haven't seen these kind of thing happen yet but i think you can try
EN,no its it's not its a small class because (er) language course if its very big then everybody cannot its very difficult to learn
EN,must be small and interactive ah as
EN,twenty ah twenty
EN,yes yes yes
EN,(er) i'm study
EN,actually one and a half years only
ZH,会 会 有 有 有 有
ZH,啊 这 造句 没问题 没问题 对
ZH, 啊  对 对 对 对
ZH,那个 很好 看  啊
ZH,我 嗯 不知道
EN,what else to talk about
EN,religion ah (er) my family is buddhist but actually i've not really
ZH,你知道 我 每天 烧香 其实 就 (呃) 其实 我也 没有 兴～
ZH,不是 不是 说 没有 兴趣  啦  只是 其实 没有 那种 习惯 啊
ZH,会了 对
ZH,哦 我 不会
ZH,我 父母 是 嗯 潮州人
EN,teochou*
ZH,我 我 不 清楚  啊   就是 我 不会 我们 这一 这一代 的
ZH,对 会要
EN,there's this very famous temple in chinatown
ZH,不是 不是 是  总之 (呃) 每 每当 新年 都会 爆 挤满 人  啊  就是
ZH,就是 观音庙 观音庙 对
ZH,啊 对 应该 是  吧  可是
ZH,可是 我 我也 没有 去 那里
ZH,讲 华语
ZH,(呃) 我是 从 (呃)
EN,okay i'm from m. b. s.
EN,er year one
ZH,然后 啊
EN,er nanyang business school
EN,er business school ah
ZH,比较 有空 啊
EN,ah projects
EN,er four modules ah eh five modules eh actually
EN,five modules ah
ZH,啊 因为 有很多 东西 都要 自己 去 自己 去 学 (呃) 比如说 有 啊
ZH,好像 <unk> er
ZH,而且 因为 比较 深奥 的 东西 要 自己 去了 解
ZH,然后 然后 了解 了 过后 也不 知道 自己 了解 的 东西 是对 还是 错
ZH,因为 啊 没有 什么 时间 可以 见到 我的 老师
ZH,跟 新加坡 的 条例 有点 不一样 我们 就 不能 跟着 那些 课本
ZH,啊 就是 这样  (呃)
EN,er this peter pan pharmaceutical so the company has er this er head of department head of the research and development department and he is er in a ethical dilemma whether to er report that there is er flaw in the new medical drug new drug that er that prevents it from selling
ZH,啊 （呃） 说说 那个
ZH,那个 要 卖 了 过后 真的是 没有 问题
ZH,哪 一个 看法
ZH,用 啊 那个 政府 执行 （呃）立 下 一些 条例 就是 那些
ZH,（呃）一个 公司 应该 有 几个 董事长 应该 有 几个 什么 应该 有 几个
EN,back line underlying principles
ZH,啊 然后 来 （呃）
ZH,解释 为什么 那个 公司 的 所作所为 在 某 方面 是 错 的
ZH,还是 对的 然后 就是 这样 了
EN,ah singapore corporate government code of corporate governance
ZH,啊 然后 就是  这样
ZH,所以 做 的时候 就  有点 赶
ZH,所以 要 多 东西 做
ZH,啊 啊 一定要 关 所以 那个 就 比较 头疼
ZH,啊 要 背 那些
ZH,啊 是 <unk>
EN,(er) lecture
ZH,他 就会 略 讲 （呃） 当中 当中 的 内容 啊
ZH,比较 啊 比较 重要 的 东西
ZH,是 另外 一个 老师 来 讲
ZH,（呃）啊 那种 助教 对
ZH,应该 是 只有 两个 啊
ZH,那个 总 的 是 作 那个 讲 讲座 的 然后 那个
ZH,比较 少
ZH,啊 在 学校 就 比较 少
ZH,因为 学校 只是
EN,(er) hall ah (er)
ZH,有 那种 运动 啊 体育 比赛 这种
ZH,(呃) 就是
ZH,有 不同 的 事情 会 发生 咯 比如 比如说 有 啊 一个 朋友 他 就 啊 生日 还是 还是 他
ZH,他 考试 考 得 很 差 还是 这一 类 的 所以
ZH, 有 有 有 我们 有 我们 有 做 很多 好像 这种  对 对 对 然后
ZH,就是 就是 这样 做 然后 也有
ZH,去 拿 好像 咖喱 粉 这样 去 往 他 身上 这样 涂
ZH,这种 东西 然后 就 很好 玩 啦
EN,ah hall six
EN,rugby
ZH,那个 撞 的 有 撞的 那种
ZH,啊 只能 向后 传
ZH,啊 那个 是 当 一个 一个人 被
ZH,撞 出去
ZH,然后 他 就要
ZH,然后 他 丢进 来 的时候 他 一定要 丢 中间 直直
ZH,直直的 在 他的
ZH,他 站住 的 中间 啊
ZH,然后 他 丢 直 的时候 两 他的 两边 有 不同 的 队 会 有人 把 他的
ZH,啊 队友
ZH,（呃） 也不 会 久 啊 去年 年 未 大概 十一月 这样 开始 玩 然后 玩 到 二月 初 啊
ZH,比较 壮 比较 大 只 的
ZH,（呃）防守 啊
ZH,啊 比较 瘦小 的 所以 啊 就是 在后面 的 咯
ZH,那个 人 已经 是 有一点 空位 给 他 跑
ZH,所以 他们 只能 跑 一点点 所以 他们就 能 他们就 一定要 跑 去 前面 撞到 那个 人 再
EN,ah rug ah
ZH,啊 就是 啊
ZH,啊 也可以 是 这样
ZH,就是 他 接 不好 然后
ZH,啊 而且
ZH,啊 啊 可以 可以 可以 可以
ZH,过后 他 就
ZH,就是 （呃）
ZH,啊 诶
ZH,没有 不会 那么 多 人 所以 比较多 范围 给 你 跑
ZH,有  就是 刚 开始 就是 你
ZH,所以 有点 有点 刺激 啊
ZH,几倍 啊 所以 你 只能 啊 你 如果
ZH,没有 用 的
ZH,啊 他 只是 继续 跑 所以 你要
ZH,对 所以 可以 直接 抓 他的 脚 给 他 跌倒 所以 通常 是 这样 所 不然 的话 那些
ZH,通常 你 这样的 话 那个 人 会 直接 踩 下去 然后 直接 去 跑
ZH,没有 在 所以 很多 东西
ZH,就 可以 了
ZH,一场 只有 一个
ZH,啊 看 有 有些
EN,around
ZH,没有 总共 十分 钟 所以 很少 你 玩
ZH,啊 淘汰 赛 （呃）
ZH,对 对 对 他 他的
ZH,啊 然后 就是 这样
ZH,不会 那么 好
ZH,啊 他们 只是
ZH,然后 那个 人 只是 甩 一下 他的 脚
ZH,那个 人 就 跌倒 了 然后 他 继续 跑
ZH,比起 来 比较 生疏 啊
EN,enjoy ah
ZH,那个 人 啊 射 球
ZH,对 然后 他 可以
ZH,尽 你的 全力 浑身力 直接 把 他 甩掉 直接 把他 推开
ZH,啊 出面 比较
ZH,比较 明显 的 是要 把 那个 人
ZH,好像 故意 要 打 那个 人的 话 直接 把 好像 把他 推开 还是 什么 都是 可以 的
ZH,啊 如果 在 很 远 的话 就 不可以 啊
ZH,啊 如果 在 好像 在 前面 旁边 这样 而已 你 可以 直接 把 他 推开
EN,ah strategy
ZH,就是 你 传到 后面 才能 前进
ZH,所以 一定要 有很多 不同 的 战术 就是
ZH,好像 啊
ZH,啊 他们
ZH,他们就 会 啊 直接 把 那个
ZH,比较 能 撞 不是 比较 能 跑
ZH,啊 他们就 一直 讲 可是 讲 到 过后
ZH,过后 几 场 的时候 啊
ZH,完全 没有 办法 猜测 因为
ZH,他们 一 讲 那个 号码 你的 脑 就 乱掉 了
ZH,所以 就
ZH,就是 你 不 杀他 你 自己 就会 死
ZH,所以 可是 在
ZH,只是 他们 好像 看起来 很 平常 这样
EN,raise you arm lah while running so that when the person tackle you
ZH,他 就 （呃） 你 就可以 撞 过 他
ZH,总之 是 越 低
ZH,那个 人 就 越 难 把 你 撞倒 所以
ZH,你 越 低 你 就 越 容易 把 人 撞开
ZH,可是 刚 开始 我 不知道 这个 缘故 所以 我 只是
ZH,有人 远方 我 就 一直 尽量 把 他 推开 推开 可是 过后 比较 大 只 的 他们就
ZH,他们 不会 跑 过来 他们 直接 整个 人 来 撞
ZH,然后 就是 有一个 霎时 啊
ZH,没有 啦  还没有 到 那个 进度
ZH,你 你 有 参
ZH,他 就 我们的 唯一 办法 就是 把 那个 人 抓 下来
ZH,不管他 怎么 推你 撞你 就要 一直 抓住 他 总之 把 他 拉 下来 就是了 然后
ZH,在 那个 情况（呃） 被 抬 出去 的 机率 比较少
ZH,啊 还是 可以 传 对 对 总之 你的 啊 球 没有 碰到 地 你可以 传
ZH,你 你 有 两个 选 者 你 一 倒 一 动地 的话 你 就 一定 一定要 把 球 推出 来
ZH,推 通常 是 啊 比如说 他 跑 去 前面
ZH,他 就要 把 他的 球
ZH,他 球 动地 的时候 他 就要 把 球 推到 后面 然后 会 有一个 人 在 他的 上面 这样 扑 过去
ZH,然后 推 推 了 因为 如果 那个 球 是在 （呃）
ZH,他的 队 的 后面 的话 就是 他的 队 的 球 就可以 继续 跑 谈话 如果 是在 对方 的 队 的话 就是 对方 的 球
ZH,啊 然后 有时候 那个 人 他们的 他们 倒 之前 的 那 段 时间 比较 长
ZH,所以 他们就 一 看到 朋友 他们 要 传 可以 传 然后 传了 过后 （呃） 如果 撞到 那个
ZH,对方 可以 在 那个 时候 抓 他的 球 出来
ZH,然后 啊 可以 的 可以 做 的 东西 就是 （呃） 啊 他的 朋友 好像 抓住 他的 腰部
ZH,他的 肩膀 在 他的 腰部 那里
ZH,然后 慢慢 慢慢 他们 突然 在 中间 会 转
ZH,然后 会 就是 然后 转 了 过后 有些人 又 跑到 另外 一边 的队 他 就 从 另外 一边 出来 这样 所以 这个 就是
ZH,我 一定要 尽量 传 掉
ZH,就是 直接 一 拿到 球 跑 几 步 撞 前面 倒 了
ZH,啊 应该 已经 懂了 要 做 什么 所以 他们 一 拿 到 的时候 他们
ZH,东西 给 他 穿 过
ZH,啊 就是 这个 就是 啊 那个
ZH,所谓 那个 那个 做的 人 啊 他 就要
ZH,讲 那个 <unk> 那个 时候 就是 他 跑 跑 他 就 讲
ZH,那个 球 一 弹在 空中 那个 人 就 跑 过 就是 好像
ZH,啊 不是
ZH,是 你 球 直接 放在 空中 你的 旁边 而已 那个 人 在 你 后面 已经 开始 跑了
ZH,他 开始 跑 了 你 放 球 然后
ZH,球 一 在 空中 他 已经
ZH,撞 可能 跑 过 这样
ZH,没有 时间 给 他们 想 要 做 什么
ZH,呵 会比较
ZH,高 啦 这个 这个 方法
ZH,可是 到了
ZH,就是 很 失望 啊 因为
ZH,一 大半 都是
ZH,没有 那么 好 啊 就是
ZH,我 不懂 他的 华语 的 翻译
ZH,就是 他们的 组合 啊 分 分组 的 组合 啊 比较 啊
ZH,我 不知 可能 是 抽签 还是 什么 总之
ZH,他们的 啊
EN,groupings
ZH,没有 那么 啊 有些 会 忽然 很好 有些 会
ZH,看 得 看 得到 他 啊
ZH,mm 那些
ZH,跟 他们 玩 会怕 可是 没有 办法 啊
ZH,很 很 有 经验 的 那种 啊
ZH,啊 就 比较
ZH,他 他 就 他 就有 参加 那些 学校的 那些 篮球 的 友谊赛 啊
ZH,ah 可是 就是
ZH,所以 就是
EN,one two three four five six  seven this is the seventh years
EN,yah we've been in the same class since
EN,since sec one so sec one sec two even first three months we are same class
EN,then j. c. class also same class
EN,then now we become roomies  yah she's from aerospace engineering ah
EN,then (er) ya she's somebody who
EN,that that is why i ask her to whether she want to be my roomie ah
EN,(er)  she
EN, yah my whole clique is from the flim art
EN,but she's the second second one where i'm the youngest what
EN, yah they have a few scenarios for us to like act out la then they in the end they find out that we are
EN,yah then in oh my role was an ah-mah  yah i acted as an ah-mah then
EN,because they say because i can make the really like old like old and deep voice
EN,the my roomie was a auntie
EN,supposed to act like an auntie it is like it's so not her la because
EN,like she's somebody who is very okay she got stage fright she got serious stage fright then
EN,then in the end
EN,in the end the response was quite good cause
EN,yes  we got like after the thing right we got too much money left
ZH,如果 你 有 看过 豆腐 街 的话
EN,then like even after hexis
ZH,我们 我们 破
ZH,就 他的 做
EN,ah communications studies year one
ZH,(呃) 上 哪些 科目 有一些 好像 (呃)
ZH,(呃) 不错 啦 因为 学校 很 小 所以 好像 每个人 都 认识
ZH,啊 啊 对
EN,mm as in
ZH,换
EN,ya then how to take the shot
EN,yah but then like (er) there's not much money in the yah in the industry cause very small
EN,also
EN,(er) then on the other hand like communication research right there's a lot of money there like you can earn the most money in communication research
EN,com mm ah
ZH,给 那些 公司 啊
ZH,好像 好像 (呃)
ZH,比如说
EN,you can earn a lot of money in communications research compared to like (er)(er) journalist and all that
EN,not much money leh ya
EN,(er) salary
ZH,（嗯） 一两千 （嗯）
ZH,(呃)  我 还没有 决定
ZH,我 还没有
ZH,(呃）
EN,a lot of people in the school write very well ah so its like got a lot of competition and its a very tough industry la
EN,hello ya
EN,ya ya that's true mm
EN,but even in like like journalism
EN,if not it's very difficult ya mm
ZH,所以 如果  好像 没有 没有 老师 没有 叫 我们 做 的话  很惨 啊
EN,like you write a review la what you you think about the issue and why you think it is important to know about this this issue and why do you think it it was reported
EN,that kind of thing ya
EN,(er) there there was no word limit cause i think about mm
EN,three hundred to five hundred words yah for one article like that
EN,mm don't really need to argue but you can summarize then
ZH,啊 这样 简易 嗯
EN,what your your your thoughts about
ZH,啊 有 兴趣 可是 来到 大学 就 没有 什么 读 报纸 了 哈哈
ZH,因为 我 (呃) 没有 因为
ZH,很少 (嗯)
ZH,上网 没有
EN,ya ya he wouldn't be pardon la mm
EN,(er) caning
EN,i don't know i think caning is okay
EN,for what kind of punishment for what kind of crime ah mmm
EN,(er) but i think
EN,i don't know i don't know what sort of i actually i'm not very i am not very familiar like what sort of crimes you can get caning get caned for
EN,ya like that
ZH,哦 (呃)
EN,(er) retirement
EN,yah forty fifty still okay but like once you hit sixty ah you will
EN, i don't want to work already
ZH,可是 好像 今年 又是 虎 年
EN,i think like gradually
EN,yah there's like
ZH, 我 将来 我也 也是 觉得 两个 比较 好 因为 因为 现在 我 妈妈 有 四个 孩子 (嗯) 三个 儿子 一个 女儿 啦
ZH,我 一个 女儿
ZH,(呃) 我是 觉得 我 妈妈 放弃 了 很多
ZH,所以 要 给 他 多 添多 一个 孙子
EN,(er) do like like slowly teach four children one by one ah i cannot cannot one
EN,society and you
ZH,就 最近 最近 我的 同学们 蛮 都在看 好像 啊 那个 梁智强 的 梁智强 的 新闻
EN,yah mistress yah like tiger woods the cheating yah what la
EN,yah then mm
EN,in the end she had to be carried out ah so it is very very dramatic like  it was really like drama like that then
EN,mm  yah
ZH,第二个 女孩子 讲 他 有 好像 (嗯)
EN,his his kind of behavior doesn't doesn't reflect the kind of moral values that he has in his film also
ZH,所以 我 我是 觉得 现在 很 啊 对
ZH,(嗯) 小孩 不笨 是 他
ZH,很 他 电影 也是 做人 可是 他
ZH,他 现在 怎么 教 人家 做人
ZH,哎 是觉得 哎 mm
ZH, 尤其 是 有钱 有 有 有事业 的 男人 他们 会 这样
EN, that's the reason
ZH,很少 啦 新加坡 我 觉得 很少
ZH,(呃) 新加坡 人 比较 喜欢 看
EN,but ya people find it very weird la yah
EN,yah there are a lot of chinese people but i i mean we are all chinese la it's just that it's just that mm they don't really like to speak
EN,chinese ya cause i think all of us cause to get into the communications school right they always look at your english grade so
EN,once you
EN,when we when we speak right in school always
EN,talk english english english english then
EN,whenever we speak chinese ah its like like maybe one sentence then they fail
EN, yah its very bad
EN,they find it very very funny like very
ZH,啊 以前 他们 也是 好像 在家 里 他们 没有 讲 什么 华语 嘛
ZH,我也 不知道 叻
ZH,我 我  我 在 家里 其实 不讲 华语的
ZH,(嗯) 讲 英语 的 可是 可是 因为
ZH,huh  华语 怎么 学
ZH,我 有 (呃) 从小 就有 一个 补习 老师 我 我也 不知道 我 怎么 学 华语 的 叻
ZH,因为 我 弟弟 我 弟弟 的 华语 真的 很 差  弟弟 的 华语 真的 很 差 可是 (呃) 我们 都是 同一 补习 老师 啦
ZH,因为 我 我 妈妈 的 华语 也 也是 不好 他们 比较 (呃) 他们 会 讲 英语 啊 广东 话
ZH,广东 人 咯
ZH,他 讲 不是 我是 (呃) (呃) 英国 人
ZH,（嗯） 小的时候他 很好笑 （嗯）
ZH,（嗯） 我是
EN,(er) one semester yah now (er) i have a lot of seniors on exchange la all over the place they are in taiwan switzerland u. s. all that then they it seems like very fun like that they look like they are having a lot of fun there
EN,ya so i also want to go and try in year three ya year two
ZH,应该是
EN,but then i don't know i i i will see how next time
ZH,(嗯) 韩剧 还有 听 他们的 歌 咯
ZH,(嗯) 我是 喜 比较 喜欢 韩国 的 东西
ZH,西
EN,then in singapore like the kor~ like imported from korea clothes also very expensive but actually down there it's very very very cheap leh
EN,kimchi ah  yah
EN,but i still prefer japanese food la  i think japanese food is very very nice
ZH,对 咯 我有
ZH,比不上 的 感觉 (嗯)
ZH,可是 其它 的 我 不 我 不怎么 了解 (嗯)
EN,like very smelly also so they clear everything then they build (er) residences loh
EN,ok so now only left i think singapore we only have like one goat farm then (er) some organic vegetables
EN,(er) cow farm i think pig farm no more already totally
EN,yah so only left a few farms at the
EN,i think choa-chu-kang
EN,area ya
EN,very lil~ very few la very few left mm
EN,korean food ah ah
EN,like slowly like even food court like you go to a food court sometimes got got korean food mm
EN,can thirteen
ZH,搭到
EN,so down there bugis (er) its very near bugis junction opposite
EN, my friends and i ordered like ordered too much ah so we cannot waste ma cause down there they put that they will charge if you waste
ZH,啊 可是 你 可以 叫 汤 啦 如果 你 你 要 喝汤 的话
ZH,啊 二十多 mm
EN,then like you don't know how long it's been put there also so its not very fresh ah whereas here like you
ZH,哦 因为 那时 候 我们 是 早去 啦 我们 五点 多 就 去了 所以 那时候 没有 什么 人 可是 七点多 就有 人 进来 了
ZH,没有 没有 去 过 台湾
ZH,他们 那边的 老板 也是 韩国人 啦 所以 他们的 食物 也是 蛮 不错 可是 他的 汤 不 太好喝
EN,the the the soup wasn't very good yah
ZH,便宜 的 汤 啊
ZH,很好吃 (嗯) 不错
ZH,花 都 开 了 所以 在 那边 哇 很 漂亮
ZH,那种 黄色的花 去 那边 拍 很多 照片
ZH,(呃) 啊 我 我们 没有 爬 到 山顶 啊 只是 在下 面 下面 呆 了 一会儿
ZH,(呃)集合 我们 每次 都 迟到
ZH, 也是 不好 意思 啦
EN,so you just follow along the along the line loh to to go shopping and all that don't next time don't go tour already ya
EN,she's going back cause we are going off for a very long break in for four months what so she is going back to korea for three months
EN,korean koreans are more
EN,all quite quite tough one like they're quite tough then their
EN,like all about service their service very good but then like in korea i think
ZH,没有 没有 去 可是 (呃)
ZH,有 听说过 (嗯)
ZH,(呃) 因为 (呃) 他 有一个
EN,i i thought it'll be very big
ZH,(嗯) 可是 很 小 我 以 我 以为 他 很大
EN,(er) my name is yan zhang
EN,(er) from maritime c. e. e. ah
ZH,靠近
ZH,啊 那种 东西
ZH,啊 有 (呃)
ZH,(嗯) 可是 我是 怕 应该 没有 这么 快 会 发生 啊
ZH,（嗯） 就是 (呃) 担心 那个
ZH,就是 比较 多人 会 (嗯) 从事 好像 帮忙 那些 运货 的 人 找船 这些
ZH,(呃) 因为 那个 油 他们 在 载 的 时候 会有 那个 他 会
ZH,可是 我是 不太 清楚 怎样放 啊
ZH,嗯 可是 其实 我们
ZH,要 要 怎么 建 那些 船 啊 那些 所以
ZH,这种
